iter	Logloss
0	0.6922506714
1	0.6915060425
2	0.6904135132
3	0.6894142151
4	0.6885228729
5	0.6874787903
6	0.6866569519
7	0.6859082794
8	0.6849723053
9	0.6841344452
10	0.6827372742
11	0.6818913269
12	0.6808694458
13	0.6799804687
14	0.6790856934
15	0.6781732178
16	0.6775082397
17	0.6764994812
18	0.6755874634
19	0.6744779968
20	0.6735907745
21	0.6731233215
22	0.6723522186
23	0.6715315247
24	0.6706673431
25	0.6698822021
26	0.6688969421
27	0.6681349945
28	0.6668796539
29	0.6659716034
30	0.664805603
31	0.6639483643
32	0.6633544159
33	0.6622774506
34	0.6615110779
35	0.6607398987
36	0.6601116943
37	0.6591979218
38	0.658584671
39	0.6579695892
40	0.6571763611
41	0.6562817383
42	0.655489502
43	0.6546889496
44	0.6542198181
45	0.653742218
46	0.652875824
47	0.6523219299
48	0.6517895508
49	0.6508687592
50	0.6502513123
51	0.6495791626
52	0.648881073
53	0.6478561401
54	0.6467409515
55	0.6459957886
56	0.6455052185
57	0.6446630859
58	0.6440600586
59	0.6431655121
60	0.6426234436
61	0.6416778564
62	0.6408274841
63	0.6401709747
64	0.639348793
65	0.6385684967
66	0.6381179428
67	0.6373953629
68	0.6367559814
69	0.6359706879
70	0.6352446365
71	0.6343933105
72	0.6341115189
73	0.6331421661
74	0.6327282333
75	0.6323632812
76	0.6319468307
77	0.6315036774
78	0.6310361099
79	0.6303600311
80	0.6297270584
81	0.6293802643
82	0.6286027145
83	0.6282556915
84	0.6271421432
85	0.6264226532
86	0.6257240295
87	0.6248709106
88	0.6244677734
89	0.6239377594
90	0.6233392715
91	0.6227154541
92	0.6223592377
93	0.6221264648
94	0.6215873718
95	0.6210295105
96	0.6203727722
97	0.6193446732
98	0.6189963531
99	0.6183824921
100	0.6178048706
101	0.6171691132
102	0.6167337036
103	0.6160562897
104	0.615682373
105	0.6151914215
106	0.6144802856
107	0.6140119553
108	0.6136213684
109	0.613158989
110	0.6127515411
111	0.6124134445
112	0.6117411804
113	0.6110909271
114	0.6106346893
115	0.6101956558
116	0.6099121857
117	0.6094847488
118	0.6091649246
119	0.6087360001
120	0.6082542419
121	0.6072398376
122	0.606630249
123	0.6061273193
124	0.6057663727
125	0.6051174927
126	0.6046242523
127	0.6038241196
128	0.6032531357
129	0.6031437683
130	0.6026169586
131	0.6023442841
132	0.601952858
133	0.6013668442
134	0.6010335541
135	0.6003525162
136	0.5996445084
137	0.5992650986
138	0.5986840057
139	0.5979437256
140	0.5976291656
141	0.5969469452
142	0.5968482208
143	0.5963647461
144	0.5959122467
145	0.5954254532
146	0.5946663666
147	0.5942222595
148	0.5938835907
149	0.5934407425
150	0.5930853271
151	0.592545433
152	0.592303772
153	0.5920149231
154	0.5915642166
155	0.5912960434
156	0.5909381485
157	0.5905737305
158	0.5902276611
159	0.5898101044
160	0.5891997147
161	0.5885725403
162	0.5882371902
163	0.5878631592
164	0.5872152328
165	0.5869744873
166	0.5864793777
167	0.5862337494
168	0.5859111786
169	0.5855438232
170	0.5851964569
171	0.5849040604
172	0.5846091843
173	0.5839932251
174	0.5835633469
175	0.5825062561
176	0.5822750854
177	0.5818674469
178	0.5814215851
179	0.5810328674
180	0.5807605362
181	0.5803384781
182	0.5801244354
183	0.5798066711
184	0.5789930725
185	0.5787012482
186	0.577780838
187	0.5774968719
188	0.5771466827
189	0.5766456223
190	0.5759760666
191	0.575517807
192	0.5753081131
193	0.5750530624
194	0.574834137
195	0.5743654251
196	0.5740261459
197	0.5731875992
198	0.5728947449
199	0.5724768829
200	0.5721955872
201	0.5716947174
202	0.5712382507
203	0.5710461426
204	0.5705563354
205	0.5701590729
206	0.5698202133
207	0.5694898224
208	0.5690148926
209	0.5687635803
210	0.5684531021
211	0.5681058502
212	0.5675779724
213	0.5672254181
214	0.5667025757
215	0.5660767746
216	0.56593647
217	0.5655516815
218	0.5650606537
219	0.5647827148
220	0.5644460297
221	0.5640990448
222	0.5639485931
223	0.5636931229
224	0.5631067657
225	0.5626984406
226	0.5625204086
227	0.5619631958
228	0.5615153122
229	0.5612936783
230	0.5608100128
231	0.5604455185
232	0.5603097916
233	0.5600181961
234	0.5592333603
235	0.558993187
236	0.5586447144
237	0.5581112671
238	0.5578218079
239	0.5572589111
240	0.5570316315
241	0.5565860748
242	0.556323204
243	0.5560982895
244	0.5556546783
245	0.5550518799
246	0.5546481323
247	0.5541129303
248	0.5537953949
249	0.5532830048
250	0.5532364655
251	0.5528873444
252	0.5525291443
253	0.5521751404
254	0.5518022156
255	0.5516784286
256	0.5512001801
257	0.5508968353
258	0.5506102753
259	0.5501401138
260	0.5498709106
261	0.5496861267
262	0.5493968964
263	0.5491400909
264	0.548812027
265	0.5484296417
266	0.5481964493
267	0.5476350403
268	0.5472249985
269	0.5467902374
270	0.5464826965
271	0.5461946487
272	0.5458988953
273	0.5456639099
274	0.5454478455
275	0.5452293015
276	0.544914093
277	0.5446803665
278	0.544358139
279	0.5440795135
280	0.5437615204
281	0.5434394073
282	0.543107605
283	0.5428643036
284	0.5427311325
285	0.5424508667
286	0.5422947311
287	0.541638031
288	0.5414453506
289	0.5409703827
290	0.5407274246
291	0.5403330231
292	0.5400431061
293	0.5396023941
294	0.539482193
295	0.5391057587
