iter	Passed	Remaining
0	10	10199
1	16	8281
2	25	8430
3	38	9546
4	49	9867
5	68	11354
6	74	10604
7	82	10202
8	92	10144
9	98	9736
10	109	9835
11	118	9742
12	130	9894
13	140	9905
14	145	9584
15	154	9524
16	159	9225
17	169	9220
18	177	9161
19	191	9389
20	207	9650
21	216	9606
22	223	9481
23	233	9499
24	261	10194
25	278	10432
26	303	10925
27	323	11230
28	328	10988
29	333	10768
30	338	10593
31	343	10399
32	348	10215
33	388	11032
34	393	10843
35	398	10662
36	409	10666
37	414	10490
38	419	10335
39	424	10183
40	440	10311
41	445	10161
42	450	10021
43	458	9956
44	462	9820
45	469	9738
46	522	10591
47	527	10458
48	535	10401
49	569	10826
50	574	10691
51	580	10579
52	629	11249
53	635	11131
54	641	11027
55	647	10918
56	653	10815
57	658	10690
58	662	10565
59	669	10493
60	674	10376
61	678	10264
62	684	10175
63	689	10078
64	693	9972
65	699	9901
66	704	9813
67	712	9764
68	718	9700
69	723	9613
70	727	9524
71	733	9460
72	738	9378
73	742	9291
74	748	9229
75	753	9155
76	757	9083
77	763	9026
78	767	8945
79	770	8864
80	774	8784
81	778	8720
82	783	8650
83	786	8581
84	790	8509
85	794	8448
86	798	8377
87	802	8313
88	805	8248
89	810	8190
90	814	8133
91	817	8072
92	821	8011
93	827	7972
94	831	7918
95	834	7862
96	838	7806
97	843	7764
98	847	7708
99	850	7657
100	854	7607
101	859	7570
102	863	7520
103	867	7472
104	871	7424
105	875	7382
106	879	7338
107	883	7294
108	888	7266
109	894	7235
110	899	7207
111	905	7178
112	909	7143
113	915	7111
114	920	7084
115	924	7044
116	928	7005
117	931	6965
118	936	6936
119	940	6899
120	944	6860
121	948	6825
122	953	6796
123	957	6762
124	961	6728
125	964	6693
126	970	6670
127	974	6636
128	978	6604
129	980	6562
130	985	6537
131	989	6506
132	993	6477
133	998	6450
134	1003	6428
135	1008	6405
136	1012	6379
137	1018	6360
138	1022	6333
139	1027	6310
140	1035	6306
141	1039	6282
142	1045	6268
143	1053	6264
144	1058	6240
145	1064	6228
146	1069	6206
